targetList,targetField,sourceFile,sourceColumn,transformNotes
IWAAgreements,baseGrandTotal,Agreements_Export_2026-06-02.csv,GrandTotal_Amount,"Falls back to labor + travel."
IWAAgreements,approvedLaborAmount,Agreements_Export_2026-06-02.csv,Amount Authorized,"Sum of base row plus approved mod rows."
IWAAgreements,approvedTravelAmount,Agreements_Export_2026-06-02.csv,"ODC Amount, GrandODC","Sum of base row plus approved mod rows."
IWAAgreements,approvedGrandTotal,Agreements_Export_2026-06-02.csv,"Amount Authorized, ODC Amount, GrandODC","Approved Labor Amount + Approved Travel Amount."
IWAAgreements,modCount,Agreements_Export_2026-06-02.csv,ModNumber,"Max family ModNumber."
IWAMods,modNumber,Agreements_Export_2026-06-02.csv,ModNumber,
IWAMods,modStatus,Agreements_Export_2026-06-02.csv,"Status, Workflow Status, Approval_Status, SignedA, SignedB","Mapped to approved/rejected/underReview."
IWAMods,reason,Agreements_ProjectDescription.csv,ProjectDescription,"Mod-row plain text description; raw export ProjectDescription is fallback."
IWAMods,changeSummary,Agreements_Export_2026-06-02.csv,Sequence,
IWAMods,notes,Agreements_Export_2026-06-02.csv,"Sequence, ID","Migrated from Legacy IWA list. Legacy Sequence: XXX, Legacy ID: XXX."
IWAMods,laborAmount,Agreements_Export_2026-06-02.csv,Amount Authorized,
IWAMods,travelAmount,Agreements_Export_2026-06-02.csv,"ODC Amount, GrandODC","Uses ODC Amount first, then GrandODC."
IWAMods,grandTotal,Agreements_Export_2026-06-02.csv,"Amount Authorized, ODC Amount, GrandODC","Calculated as mod laborAmount + mod travelAmount because legacy GrandTotal_Amount is often cumulative."
IWAResources,employee,ResourceDetail_Export_2026-06-02.csv,Employee,"Employee now contains email; unresolved/non-email values default to SharePointApps@koniag-gs.com."
IWAResources,state,ResourceDetail_Export_2026-06-02.csv,Work State,"Two-letter abbreviations are expanded to State Name (XX)."
IWAResources,laborCategory,ResourceDetail_Export_2026-06-02.csv,Role_Position,
IWALaborLine,jobId,ResourceDetail_Export_2026-06-02.csv,JobID,
IWALaborLine,standardRate,ResourceDetail_Export_2026-06-02.csv,"Bill Rate, Original Cost","T&M only."
IWALaborLine,standardHours,ResourceDetail_Export_2026-06-02.csv,"Units Quantity, Total Hours, Original","T&M only."
IWALaborLine,standardAmount,ResourceDetail_Export_2026-06-02.csv,"Bill Rate, Units Quantity, Total Hours, Original","Calculated as standardRate x standardHours for T&M."
IWALaborLine,totalAmount,ResourceDetail_Export_2026-06-02.csv,"Total, Original Total",
IWATravelODC,jobId,Agreements_Export_2026-06-02.csv,ODC Job_ID,
IWATravelODC,description,Agreements_Export_2026-06-02.csv,ODC Job_Name,
IWATravelODC,amount,Agreements_Export_2026-06-02.csv,"ODC Amount, GrandODC",
IWAWorkflowRuns,currentStepKey,Agreements_Export_2026-06-02.csv,Workflow Status,"Legacy status mapped to current workflow step."
IWAWorkflowActions,actionDate,Agreements_Export_2026-06-02.csv,"Created, Modified, HR_Update, OG_Approval","Submission uses Created; approval/rejection uses Modified. T&M workflow actions are PM, HR, OGP, CFO; FFP workflow actions are PM, OGP, CFO. HR_Update and OG_Approval are preserved in action comments."
